work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Security Engineer,160000,USD,160000,United States,100,United States,M
2023,SE,FT,Security Engineer,130000,USD,130000,United States,100,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,SE,FT,Security Engineer,180000,USD,180000,United States,0,United States,M
2023,SE,FT,Security Engineer,92960,USD,92960,United States,0,United States,M
2023,SE,FT,Professional Services Consultant,189200,USD,189200,United States,0,United States,M
2023,SE,FT,Professional Services Consultant,137600,USD,137600,United States,0,United States,M
2023,SE,FT,Security Engineer,175000,USD,175000,United States,0,United States,M
2023,SE,FT,Security Engineer,90000,USD,90000,United States,0,United States,M
2023,SE,FT,Security Engineer,300000,USD,300000,United States,0,United States,M
2023,SE,FT,Security Engineer,220000,USD,220000,United States,0,United States,M
2023,MI,FT,Compliance Manager,166000,USD,166000,United States,0,United States,M
2023,MI,FT,Compliance Manager,126000,USD,126000,United States,0,United States,M
2023,SE,FT,IAM Engineer,185000,USD,185000,United States,0,United States,M
2023,SE,FT,IAM Engineer,141000,USD,141000,United States,0,United States,M
2023,EX,FT,Head of Security,300000,USD,300000,Canada,100,Canada,M
2023,EX,FT,Head of Security,240000,USD,240000,Canada,100,Canada,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,MI,FT,Compliance Analyst,115000,USD,115000,United States,0,United States,M
2023,MI,FT,Compliance Analyst,75000,USD,75000,United States,0,United States,M
2023,SE,FT,Security Engineer,155800,USD,155800,United States,100,United States,M
2023,SE,FT,Security Engineer,142127,USD,142127,United States,100,United States,M
2023,SE,FT,Security Engineer,258000,USD,258000,United States,0,United States,M
2023,SE,FT,Security Engineer,171000,USD,171000,United States,0,United States,M
2023,MI,FT,GRC Analyst,100000,USD,100000,United States,0,United States,M
2023,MI,FT,GRC Analyst,85000,USD,85000,United States,0,United States,M
2023,SE,FT,Security Engineer,148000,USD,148000,United States,0,United States,M
2023,SE,FT,Security Engineer,99000,USD,99000,United States,0,United States,M
2023,SE,FT,Information Security Consultant,90000,GBP,110736,United Kingdom,100,United Kingdom,M
2023,SE,FT,Information Security Consultant,70000,GBP,86128,United Kingdom,100,United Kingdom,M
2023,SE,FT,Security Engineer,225000,USD,225000,United States,0,United States,M
2023,SE,FT,Security Engineer,156400,USD,156400,United States,0,United States,M
2023,SE,FT,Cyber Security Specialist,115000,USD,115000,United States,0,United States,M
2023,SE,FT,Cyber Security Specialist,95000,USD,95000,United States,0,United States,M
2023,SE,FT,Security Architect,202606,USD,202606,United States,100,United States,M
2023,SE,FT,Security Architect,139634,USD,139634,United States,100,United States,M
2023,SE,FT,Security Engineer,170200,USD,170200,United States,0,United States,M
2023,SE,FT,Security Engineer,68400,USD,68400,United States,0,United States,M
2023,SE,FT,Security Engineer,294000,USD,294000,United States,0,United States,M
2023,SE,FT,Security Engineer,196000,USD,196000,United States,0,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,SE,FT,Security Engineer,315000,USD,315000,United States,0,United States,M
2023,SE,FT,Security Engineer,105000,USD,105000,United States,0,United States,M
2023,SE,FT,Security Engineer,148000,USD,148000,United States,0,United States,M
2023,SE,FT,Security Engineer,99000,USD,99000,United States,0,United States,M
2023,SE,FT,DevSecOps Engineer,160000,USD,160000,United States,0,United States,M
2023,SE,FT,DevSecOps Engineer,130000,USD,130000,United States,0,United States,M
2023,SE,FT,Security Engineer,181000,USD,181000,United States,100,United States,M
